"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
13,1,15,10,0,1,1,0,8,0,4,0,0,0,3,23,0,0,0,1,0,0,0,4,0,6,7,0,0,24,2,17,0,0,130,1,13,2,0,6,0,2,0,0,3,8,0,15,0,0,0,5,1,0,69,3,0,7,16,0,1,8,1,17,19,13,5,15,0,1,6,1,0,0,1,36,1,1,6,4,19,0,0,5,1,0,1,1,1,1,0,2,0,37,0,10,0,3,1,0
4,0,4,4,0,0,0,1,1,2,2,0,0,0,2,12,0,0,0,0,0,0,0,3,0,4,1,0,0,8,1,4,0,0,46,0,3,0,0,2,0,0,0,0,2,4,0,9,0,2,0,2,2,0,19,1,0,1,4,0,0,4,0,2,6,3,1,2,0,0,1,0,0,2,0,17,1,0,1,4,1,0,0,2,0,0,1,0,0,0,0,0,1,19,0,2,0,1,0,0
0,0,1,0,0,0,0,0,0,0,55,0,2,21,1,2,0,0,0,0,4,3,0,0,0,0,2,0,1,5,0,1,0,0,1,0,10,0,1,0,0,30,0,5,2,0,0,1,0,0,0,0,49,0,1,0,0,19,2,0,0,20,7,11,10,0,0,8,0,0,1,0,0,0,22,0,5,0,1,1,0,0,0,1,4,0,4,0,2,11,0,0,0,9,0,1,0,10,0,3
0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,13,0,1,0,0,7,0,0,0,4,5,1,2,0,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,4,1,1
0,0,1,0,1,0,0,0,0,0,34,1,6,164,0,2,0,0,0,0,31,15,0,0,0,1,0,0,30,4,0,0,0,0,0,0,11,0,0,0,2,91,0,24,6,0,0,0,0,0,0,1,23,0,2,0,0,26,0,0,0,32,22,15,5,0,0,16,0,0,1,0,0,0,71,4,24,1,6,0,3,0,0,1,18,0,19,0,9,37,0,0,0,4,0,0,0,74,1,26
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,108,0,1,18,0,6,0,0,0,0,6,4,0,0,0,0,2,0,0,10,0,0,0,0,5,0,18,0,1,0,0,31,0,7,1,1,0,1,0,0,0,0,62,0,5,0,0,32,1,0,0,24,14,21,15,0,0,16,0,0,2,0,0,0,21,5,9,0,4,0,1,0,0,2,10,0,7,0,2,15,0,0,0,3,0,1,0,15,2,6
11,0,18,14,1,0,0,0,3,2,1,1,0,1,1,29,0,0,0,0,1,1,0,8,0,5,8,0,2,24,6,20,0,0,130,3,24,0,0,5,0,0,0,1,5,17,1,18,0,0,0,6,5,0,70,6,1,9,11,0,1,6,1,13,18,18,2,14,1,0,5,0,0,2,1,39,1,0,4,4,21,2,1,6,0,0,0,0,6,0,0,2,1,36,0,9,0,2,2,0
0,0,0,0,1,0,0,0,0,0,165,0,1,39,0,5,0,0,0,0,6,7,0,0,0,1,2,0,6,5,0,0,0,0,4,0,27,0,0,1,0,71,0,16,5,0,0,0,0,0,0,3,118,0,4,0,0,41,4,0,1,28,23,26,15,1,1,21,0,0,1,0,0,0,33,10,12,1,1,0,1,0,0,0,12,0,5,0,6,20,0,0,1,8,0,0,0,22,1,4
0,0,0,0,3,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,136,0,2,25,0,3,0,0,0,0,11,7,0,0,0,0,2,0,4,4,0,0,0,0,0,0,19,0,1,0,0,41,0,10,3,0,0,1,0,0,0,0,92,0,7,1,0,31,4,0,0,32,11,18,12,0,0,17,1,0,3,0,0,0,15,5,7,0,2,2,0,0,0,0,9,1,5,0,3,12,0,0,0,5,0,0,0,23,1,5
0,1,1,0,0,0,0,0,0,1,171,0,6,31,0,16,0,0,0,0,3,4,0,0,0,2,4,0,4,7,0,0,0,0,6,0,30,0,0,0,1,75,0,12,5,0,0,1,0,0,0,0,99,0,7,0,0,54,1,0,0,32,19,32,20,2,0,19,0,0,1,0,0,0,32,6,14,0,4,0,1,0,0,0,13,0,4,0,1,16,0,0,0,6,0,0,0,16,1,9
0,9,0,0,6,0,1,6,2,1,0,14,2,0,0,0,14,4,19,52,0,0,18,0,21,0,0,6,0,0,0,0,12,0,0,0,0,0,2,0,14,0,68,0,1,0,1,0,118,10,4,0,0,16,0,0,1,1,0,1,8,0,0,0,1,0,0,1,1,2,2,2,106,0,0,0,1,13,0,3,1,2,20,2,0,16,0,0,1,0,9,13,7,0,161,0,2,0,3,0
1,0,1,0,0,0,0,0,0,0,116,0,3,32,0,8,0,0,0,0,6,2,0,1,0,0,7,0,3,1,0,1,0,0,2,0,15,0,0,0,0,36,0,4,3,0,0,1,0,1,0,0,53,0,3,0,0,28,2,0,0,24,18,16,16,0,0,7,0,0,3,0,0,0,18,6,8,0,4,0,0,0,0,2,11,0,5,0,3,11,0,0,1,4,0,1,0,19,0,2
0,0,2,0,0,0,0,0,0,0,118,0,0,28,0,6,0,0,0,0,7,5,0,0,0,0,2,0,6,8,0,0,0,0,2,0,17,0,0,0,0,35,0,7,1,0,0,0,0,0,0,0,85,0,5,0,0,39,1,0,1,22,6,16,13,0,0,14,0,0,0,0,0,0,18,5,9,1,3,1,0,0,0,0,6,0,3,0,3,14,0,0,0,5,0,0,0,17,0,3
0,3,0,0,10,0,0,3,0,0,0,12,0,0,0,0,0,0,6,18,0,0,6,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,1,3,0,2,0,7,17,1,1,0,52,0,0,0,0,0,1,26,1,0,0,0,0,2,1,1,2,1,2,9,1,0,0,0,5,1,5,3,1,7,6,0,21,0,0,1,0,2,29,14,0,11,0,1,1,7,0
0,1,1,0,12,0,4,2,0,1,0,17,0,1,0,0,0,0,5,7,0,1,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,19,0,2,0,1,0,4,16,2,3,0,63,1,0,0,0,0,0,20,0,0,0,1,0,3,0,1,1,1,1,9,0,0,0,1,7,2,5,6,2,1,4,0,24,0,0,0,0,1,16,17,0,10,0,1,0,3,0
0,4,0,0,26,1,2,6,0,0,0,28,0,0,0,1,3,2,4,27,1,1,8,0,6,1,0,4,1,0,0,0,5,0,1,0,0,0,2,0,14,0,21,0,8,3,3,0,4,25,2,3,0,92,0,1,1,0,0,0,28,0,0,0,0,0,2,0,1,2,2,5,19,1,0,0,1,16,4,10,5,2,7,7,0,30,0,0,1,0,3,27,23,0,15,0,0,0,10,0
17,0,11,23,1,2,0,0,3,4,3,2,0,1,1,38,0,0,0,0,0,2,0,5,0,11,7,0,0,26,2,10,0,0,136,2,26,3,0,4,2,2,0,6,7,12,2,31,0,0,0,4,5,1,78,7,0,6,10,2,3,4,0,11,9,27,6,18,0,0,5,0,0,2,1,60,2,1,2,2,23,2,0,9,1,0,1,0,4,0,0,5,1,42,1,11,0,4,6,0
0,0,0,0,0,0,0,0,0,0,18,0,3,102,0,3,0,0,1,0,21,19,0,0,0,0,1,0,9,2,0,0,0,0,2,0,7,0,0,0,0,62,0,12,5,0,0,0,0,0,0,0,23,1,2,0,0,23,1,0,0,16,19,12,4,0,0,10,0,0,3,0,0,0,44,0,23,0,7,0,1,0,0,1,14,0,14,0,8,33,0,0,1,4,0,0,0,54,0,27
0,0,0,0,4,0,0,2,0,0,0,2,1,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,5,0,1,2,1,0,2,5,5,0,0,26,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,6,1,0,0,0,3,0,1,3,0,0,1,0,7,1,1,0,0,2,7,4,1,5,0,1,0,0,0
0,5,0,0,20,1,2,4,0,0,0,21,1,0,0,0,3,3,6,11,0,1,8,0,4,0,0,3,0,0,0,0,5,0,1,0,0,2,3,0,18,0,19,0,3,0,2,0,15,20,6,4,0,93,0,0,0,1,0,0,26,0,0,1,0,0,2,0,0,3,2,3,18,2,0,1,1,6,1,7,3,1,3,8,0,32,0,3,0,0,2,41,19,1,11,0,2,0,8,0
